title,tagline,release_date,runtime,budget,revenue,popularity,vote_average,vote_count
Spectre,A Plan No One Escapes,2015-10-26,148.0,245000000,880674609,107.37678799999999,6.3,4466
Tangled,They're taking adventure to new lengths.,2010-11-24,100.0,260000000,591794936,48.681969,7.4,3330
Avengers: Age of Ultron,A New Age Has Come.,2015-04-22,141.0,280000000,1405403694,134.27922900000002,7.3,6767
Harry Potter and the Half-Blood Prince,Dark Secrets Revealed,2009-07-07,153.0,250000000,933959197,98.885637,7.4,5293
Batman v Superman: Dawn of Justice,Justice or revenge,2016-03-23,151.0,250000000,873260194,155.790452,5.7,7004
Superman Returns,,2006-06-28,154.0,270000000,391081192,57.925623,5.4,1400
Quantum of Solace,"For love, for hate, for justice, for revenge.",2008-10-30,106.0,200000000,586090727,107.92881100000001,6.1,2965
The Lone Ranger,Never Take Off the Mask,2013-07-03,149.0,255000000,89289910,49.046956,5.9,2311
The Avengers,Some assembly required.,2012-04-25,143.0,220000000,1519557910,144.448633,7.4,11776
Men in Black 3,They are back... in time.,2012-05-23,106.0,225000000,624026776,52.035179,6.2,4160
The Hobbit: The Battle of the Five Armies,Witness the defining chapter of the Middle-Earth saga,2014-12-10,144.0,250000000,956019788,120.96574299999999,7.1,4760
The Amazing Spider-Man,The untold story begins.,2012-06-27,136.0,215000000,752215857,89.866276,6.5,6586
The Hobbit: The Desolation of Smaug,Beyond darkness... beyond desolation... lies the greatest danger of all.,2013-12-11,161.0,250000000,958400000,94.370564,7.6,4524
The Golden Compass,There are worlds beyond our own - the compass will show the way.,2007-12-04,113.0,180000000,372234864,42.990906,5.8,1303
Captain America: Civil War,Divided We Fall,2016-04-27,147.0,250000000,1153304495,198.37239499999998,7.1,7241
Battleship,The Battle for Earth Begins at Sea,2012-04-11,131.0,209000000,303025485,64.928382,5.5,2114
Jurassic World,The park is open.,2015-06-09,124.0,150000000,1513528810,418.708552,6.5,8662
Monsters University,School never looked this scary.,2013-06-20,104.0,200000000,743559607,89.186492,7.0,3528
Transformers: Revenge of the Fallen,Revenge is coming.,2009-06-19,150.0,150000000,836297228,21.939663,6.0,3138
The Amazing Spider-Man 2,No more secrets.,2014-04-16,142.0,200000000,705717432,89.270217,6.5,4179
TRON: Legacy,The Game Has Changed.,2010-12-10,125.0,170000000,400062763,73.79505,6.3,2841
Cars 2,Ka-ciao!,2011-06-11,106.0,200000000,559852396,49.98659,5.8,2033
Green Lantern,"In our darkest hour, there will be light.",2011-06-16,114.0,200000000,219851172,51.872839,5.1,2487
Toy Story 3,No toy gets left behind.,2010-06-16,103.0,200000000,1066969703,59.99541800000001,7.6,4597
Terminator Salvation,The End Begins.,2009-05-20,115.0,200000000,371353001,71.862892,5.9,2463
Furious 7,Vengeance Hits Home,2015-04-01,137.0,190000000,1506249360,102.32221700000001,7.3,4176
Star Trek Into Darkness,Earth Will Fall,2013-05-05,132.0,190000000,467365246,78.29101800000001,7.4,4418
Jack the Giant Slayer,Prepare for a giant adventure,2013-02-27,114.0,195000000,197687603,43.349855,5.5,2598
The Great Gatsby,Reserving judgments is a matter of infinite hope... I come to the admission that it has a limit.,2013-05-10,143.0,105000000,351040419,61.196070999999996,7.3,3769
Prince of Persia: The Sands of Time,Defy the Future,2010-05-19,116.0,150000000,335154643,62.169881000000004,6.2,2317
Pacific Rim,"To Fight Monsters, We Created Monsters",2013-07-11,131.0,180000000,407602906,56.523205000000004,6.7,4794
Indiana Jones and the Kingdom of the Crystal Skull,The adventure continues . . .,2008-05-21,122.0,185000000,786636033,75.674458,5.7,2495
The Good Dinosaur,Little Arms With Big Attitude,2015-11-14,93.0,175000000,331926147,51.692953,6.6,1736
Brave,Change your fate.,2012-06-21,93.0,185000000,538983207,125.114374,6.7,4641
A Christmas Carol,Season's Greedings,2009-11-04,96.0,200000000,325233863,39.744242,6.6,1095
The Legend of Tarzan,Human. Nature.,2016-06-29,109.0,180000000,356743061,42.741719,5.5,2430
X-Men: Apocalypse,Only the strong will survive,2016-05-18,144.0,178000000,543934787,139.272042,6.4,4721
The Dark Knight,Why So Serious?,2008-07-16,152.0,185000000,1004558444,187.322927,8.2,12002
Up,,2009-05-13,96.0,175000000,735099082,92.201962,7.7,6870
Monsters vs Aliens,"When aliens attack, monsters fight back.",2009-03-19,94.0,175000000,381509870,36.167578000000006,6.0,1423
Hugo,One of the most legendary directors of our time takes you on an extraordinary adventure.,2011-11-22,126.0,170000000,185770160,32.319043,7.0,2141
Evan Almighty,A comedy of biblical proportions,2007-06-09,96.0,175000000,173000000,27.082182,5.3,1151
Waterworld,Beyond the horizon lies the secret to a new beginning.,1995-07-28,135.0,175000000,264218220,44.640291999999995,5.9,992
G.I. Joe: The Rise of Cobra,"When all else fails, they don't.",2009-08-04,118.0,175000000,302469017,32.852443,5.6,1962
Inside Out,Meet the little voices inside your head.,2015-06-09,94.0,175000000,857611174,128.65596399999998,8.0,6560
The Jungle Book,,2016-04-07,106.0,175000000,966550600,94.19931600000001,6.7,2892
Iron Man 2,"It's not the armor that makes the hero, but the man inside.",2010-04-28,124.0,200000000,623933331,77.30019399999999,6.6,6849
Snow White and the Huntsman,The Fairytale is Over,2012-05-30,127.0,170000000,396600000,77.178973,5.8,3118
Dawn of the Planet of the Apes,One last chance for peace.,2014-06-26,130.0,170000000,710644566,243.79174300000003,7.3,4410
Tomorrowland,Imagine a world where nothing is impossible.,2015-05-19,130.0,190000000,209154322,130.311355,6.2,2846
Independence Day: Resurgence,We had twenty years to prepare. So did they.,2016-06-22,120.0,165000000,389681935,48.775723,4.9,2491
Shin Godzilla,A god incarnate. A city doomed.,2016-07-29,120.0,15000000,77000000,9.476999000000001,6.5,143
The Fast and the Furious,Live life 1/4 mile at a time.,2001-06-22,106.0,38000000,207283925,6.909942,6.6,3428
The Curious Case of Benjamin Button,"Life isn't measured in minutes, but in moments.",2008-11-24,166.0,150000000,333932083,60.269279000000004,7.3,3292
Shrek the Third,Who's ready for Thirds?,2007-05-17,93.0,160000000,798958165,42.986467,6.0,2278
Warcraft,Two worlds. One home.,2016-05-25,123.0,160000000,433677183,63.148529,6.3,2268
Pearl Harbor,It takes a moment to change history. It takes love to change lives.,2001-05-21,183.0,140000000,449220945,34.20669,6.6,1791
Transformers,Their war. Our world.,2007-06-27,144.0,150000000,709709780,25.468493,6.6,4040
Alexander,The greatest legend of all was real.,2004-11-21,175.0,155000000,167298192,39.019228999999996,5.6,927
Harry Potter and the Order of the Phoenix,Evil Must Be Confronted.,2007-06-28,138.0,150000000,938212738,78.14439499999999,7.4,5494
Harry Potter and the Goblet of Fire,Dark And Difficult Times Lie Ahead.,2005-11-05,157.0,150000000,895921036,101.250416,7.5,5608
Charlie and the Chocolate Factory,Willy Wonka is semi-sweet and nuts.,2005-07-13,115.0,150000000,474968763,53.905592000000006,6.7,3624
Ratatouille,He's dying to become a chef.,2007-06-22,111.0,150000000,623722818,65.677399,7.5,4369
Batman Begins,Evil fears the knight.,2005-06-10,140.0,150000000,374218673,115.040024,7.5,7359
